total_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;new_cases
0.492041674635759;-0.18930712248356152;-0.18367827785260124;-0.06939510142508871;-0.07125244908108866;-0.301258389879923;-0.34961737427545114;-0.4426302096344945;-0.4213449000170934;-0.06349103543847537;-0.4148140985803877;0.32633851166037386;0.1170440929294362;4.0677073020436385;0.1526500164617168;-0.3486487241990722;-0.18433157647104453;-0.8120830953568658;0.2180501966313961;0.5336881144789324;0.5557382535649106;-0.8998629217439136;0.8413996067487272;-0.9650723371199627;-0.5271318125741706;0.3390116360993126;0.3743371139227842
0.09440095201636049;0.02586312084810535;0.2056300855740047;0.6984388517286518;1.252691134613149;0.250740650515591;0.8193795569689324;0.07166142213324203;0.26988172906734104;-0.053902729208688875;0.2372011460353989;0.5358607964975687;-0.27724042643143176;-0.5418759411780949;1.1917228871356114;0.9979295878006351;0.6640322851834167;0.8697032426570078;-0.5840630266912399;-1.3981160670361439;0.16699717895926455;0.4344758000023097;-0.9193318603281365;0.2026906323730828;0.1623609278975884;1.212424543512574;0.1778007902112111
-0.556368560109917;-0.5309335536769194;-0.5117261781352836;-0.10227638078881802;0.21112813621829915;-0.3758705729691596;-0.46341339348610733;-0.25061763736446097;-0.23428064834862708;-0.41560738746275827;-0.25653937339087796;-0.38134143309115237;-0.43587638597865697;-0.34607646274814186;1.50123395499592;1.960828208076721;1.7806407202371928;1.2620314803459771;-0.8332632514128355;-1.245439911440611;0.7211599874396528;1.0475503478316555;-0.6992404269435286;0.907480533674481;-0.2770959836118845;1.7680638186542006;-0.5027843922553761
0.11676178587894885;0.7676702990532384;0.2401441202602595;3.670868102461629;1.7081361041382734;4.134402401815687;3.5750112391144353;-0.22106327458793756;-0.2778751533613769;-0.3743097787378394;-0.2761141975727879;0.9547527916443379;-0.39240035266270823;-0.45610417027376726;0.28529761697327805;0.7114910300675734;0.7819952602325131;0.4077308951320213;-0.6541505898941887;-1.2179241839885653;-0.6146205135988959;-0.5392308347854748;-0.9870523013695542;0.78504453131348;0.003247218557951725;1.1603914341347625;-0.23940349571442868
-0.5128267633641843;-0.4911348812755642;-0.45879075450648243;0.49882913347476404;0.7330021344802286;-0.00847569866067014;0.30369714448945595;1.3397754482026867;1.2109694563267028;-0.3332420343943821;1.2376722058282417;1.5616887807912716;-0.4310534772825243;0.45338772976440833;0.1747579498803106;1.3292893215619443;1.5568342538769206;-0.16078406300390877;-0.7631756882098867;-0.919453584026921;0.75837987756147;-0.35891479130625553;-0.6202332457285411;1.1675138275222854;-0.1482896474797975;0.47466938554860444;-0.470624547961291
-0.5510052132033355;-0.5215983421342868;-0.4920858951656522;-0.7676261210362741;-0.8692144923116065;-0.42372183270909614;-0.5236384900937809;-0.5547839545744613;-0.5446896701523737;-0.28500430691847356;-0.5338793135584267;0.21775935157161136;-0.05523177290520868;-0.3125546375109249;-1.5496608567699817;-1.1794262385097236;-1.153082309922186;-1.1221469535886195;1.1447635323148297;-0.7489227786180609;0.17940380899987;-1.1162421739189767;-1.2015003646673774;-1.9903879301917555;-0.9059739776685438;-0.774125239518866;-0.4949862717397159
-0.337401412082592;-0.50253693932423;-0.48916961427236444;0.10017639120342393;-0.05834316046767917;-0.3656320853385721;-0.46069707607839533;0.32827297351432144;-0.06757203195727808;-0.28968711640672884;-0.11694154466851164;-1.7716133194301076;-0.34587229144630327;-0.23038500912476637;-1.262257722328266;-1.2539425422742287;-1.245998351912913;-0.6904731389344443;-1.383339136138393e-16;0.5363785411631327;-0.8544820277172731;-1.1523053826148206;-1.2466473253616561;-0.7268071410094548;-0.45136337955529604;-1.2442815492540895;-0.3652013123933052
3.8953410893434226;2.6612474494899754;3.025346574817288;-0.4401292500876971;-0.4177916993090842;-0.28800082772221375;-0.2969947518325573;-0.34023560919412577;-0.2521567019914214;4.353971772871042;-0.2616276304412215;0.5849176184165896;4.327523245228306;0.9918513987697063;0.30740555039187106;0.12223089746173593;-0.06152080792677958;-0.3104160576592182;0.7164506460745873;0.35888820226539114;1.3869824662854935;-0.5752940434813187;-0.5186525841664142;-0.020184136740705284;-0.7317065817251321;-0.2054776870327852;4.0323517340055774
-0.0719136289240772;0.18011349206383562;0.013579517028463238;-0.5925444625443117;-0.7176322904390321;-0.2694730355527049;-0.3575734518897555;-0.57891598984224;-0.5904177686644247;-0.18806479308604107;-0.5830258904799801;-0.9063659141652337;0.4941021308876754;-0.1586215702355407;0.5505928179963997;-0.2318536665256282;-0.3531963832194087;0.5126045026516789;-0.4906129424206415;1.0324287404289207;-0.2961836758900156;-0.25072516521872396;2.6134178139991597;0.15755047180205847;-0.34528757332887156;0.17733733196111245;-0.16430979764924594
-0.3183314787039319;-0.49985666191972655;-0.4623735135416382;0.8059781938730387;1.618006293534936;-0.3138779135943332;-0.2691565166245267;3.9527233604339855;3.920575535750119;0.26224829192349647;3.9377408441311292;0.5495248961087217;-0.3884728136693517;-0.6836281785125844;0.8379959524381152;0.6517722901711969;0.9169255125146987;2.736359541597537;-0.926713335683434;2.4101940219146245;0.030524248512601628;1.2639296000067186;0.75110568536017;1.486359174905941;3.9432057355394328;0.526702494926416;-0.23100666612450368
